short_window,long_window,cost_per_trade,total_return,baseline_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,active_days,trade_count,correlation_to_baseline,win_loss_ratio
30,60,0.001,-0.030844,-0.230318,0.110413,-0.040078,-0.037462,-0.158756,267,10,0.587932,0.960676
30,90,0.001,-0.091525,-0.230318,0.114994,-0.222876,-0.205301,-0.187745,257,10,0.613421,0.98565
30,40,0.001,-0.163082,-0.230318,0.115736,-0.458782,-0.427399,-0.24477,292,30,0.615403,0.967698
20,120,0.001,-0.21171,-0.230318,0.106577,-0.696421,-0.583497,-0.254242,227,10,0.56827,0.890633
20,60,0.001,-0.224146,-0.230318,0.109407,-0.724432,-0.647559,-0.227376,263,16,0.583165,0.91915
10,90,0.001,-0.24879,-0.230318,0.110129,-0.817393,-0.705228,-0.282774,235,18,0.588518,0.91994
30,120,0.001,-0.252439,-0.230318,0.110691,-0.827485,-0.740036,-0.259991,237,8,0.589385,0.944396
5,40,0.001,-0.261357,-0.230318,0.113806,-0.837191,-0.796021,-0.296546,271,30,0.608126,0.951525
10,120,0.001,-0.247097,-0.230318,0.103931,-0.865253,-0.706387,-0.266017,217,14,0.555379,0.893199
5,90,0.001,-0.283782,-0.230318,0.110496,-0.959276,-0.832819,-0.299091,235,20,0.590165,0.893122
20,90,0.001,-0.29036,-0.230318,0.108272,-1.009875,-0.875798,-0.306514,244,14,0.578647,0.920397
20,40,0.001,-0.3123,-0.230318,0.117553,-1.010928,-0.942209,-0.345062,274,24,0.626911,0.934826
10,60,0.001,-0.312744,-0.230318,0.116592,-1.022096,-0.949515,-0.336405,266,22,0.622787,0.914514
5,60,0.001,-0.316567,-0.230318,0.114691,-1.057273,-0.981228,-0.320828,274,32,0.612868,0.921798
5,120,0.001,-0.29489,-0.230318,0.105146,-1.063512,-0.897035,-0.311704,222,16,0.560914,0.875423
10,40,0.001,-0.330819,-0.230318,0.114419,-1.121925,-1.052892,-0.362699,272,24,0.611733,0.934653
